운행연월,노드,정류장명,시간대,이용자유형,승차,하차
202607,CNU,충남대학교,06,일반인,18,8
202607,CNU,충남대학교,07,일반인,81,16
202607,CNU,충남대학교,08,일반인,100,153
202607,CNU,충남대학교,09,일반인,52,70
202607,CNU,충남대학교,10,일반인,42,56
202607,CNU,충남대학교,11,일반인,42,22
202607,CNU,충남대학교,12,일반인,28,12
202607,CNU,충남대학교,13,일반인,50,109
202607,CNU,충남대학교,14,일반인,43,42
202607,CNU,충남대학교,15,일반인,36,19
202607,CNU,충남대학교,16,일반인,69,28
202607,CNU,충남대학교,17,일반인,97,24
202607,CNU,충남대학교,18,일반인,86,6
202607,CNU,충남대학교,19,일반인,57,21
202607,CNU,충남대학교,20,일반인,55,11
202607,CNU,충남대학교,21,일반인,38,8
202607,CNU,충남대학교,22,일반인,64,14
202607,CNU,충남대학교,15,어린이,0,1
202607,CNU,충남대학교,17,어린이,1,0
202607,CNU,충남대학교,19,어린이,1,0
202607,CNU,충남대학교,06,청소년,1,0
202607,CNU,충남대학교,08,청소년,0,3
202607,CNU,충남대학교,09,청소년,0,2
202607,CNU,충남대학교,10,청소년,1,1
202607,CNU,충남대학교,11,청소년,6,1
202607,CNU,충남대학교,12,청소년,1,1
202607,CNU,충남대학교,13,청소년,0,2
202607,CNU,충남대학교,14,청소년,0,2
202607,CNU,충남대학교,15,청소년,3,0
202607,CNU,충남대학교,16,청소년,13,2
202607,CNU,충남대학교,17,청소년,13,1
202607,CNU,충남대학교,18,청소년,6,0
202607,CNU,충남대학교,19,청소년,8,1
202607,CNU,충남대학교,20,청소년,14,2
202607,CNU,충남대학교,21,청소년,19,0
202607,CNU,충남대학교,22,청소년,16,0
202607,CNU,충남대학교,06,경로,1,1
202607,CNU,충남대학교,07,경로,6,5
202607,CNU,충남대학교,08,경로,12,4
202607,CNU,충남대학교,09,경로,11,5
202607,CNU,충남대학교,10,경로,18,5
202607,CNU,충남대학교,11,경로,10,8
202607,CNU,충남대학교,12,경로,14,5
202607,CNU,충남대학교,13,경로,15,8
202607,CNU,충남대학교,14,경로,10,6
202607,CNU,충남대학교,15,경로,14,4
202607,CNU,충남대학교,16,경로,10,3
202607,CNU,충남대학교,17,경로,11,5
202607,CNU,충남대학교,18,경로,6,2
202607,CNU,충남대학교,19,경로,5,1
202607,CNU,충남대학교,20,경로,3,0
202607,CNU,충남대학교,22,경로,0,4
202607,CNU,충남대학교,08,국가유공자,0,1
202607,CNU,충남대학교,19,국가유공자,1,0
202607,CNU,충남대학교,06,일반인,0,1
202607,CNU,충남대학교,07,일반인,3,8
202607,CNU,충남대학교,08,일반인,10,21
202607,CNU,충남대학교,09,일반인,2,30
202607,CNU,충남대학교,10,일반인,2,21
202607,CNU,충남대학교,11,일반인,7,24
202607,CNU,충남대학교,12,일반인,2,27
202607,CNU,충남대학교,13,일반인,17,42
202607,CNU,충남대학교,14,일반인,5,17
202607,CNU,충남대학교,15,일반인,1,14
202607,CNU,충남대학교,16,일반인,7,21
202607,CNU,충남대학교,17,일반인,9,22
202607,CNU,충남대학교,18,일반인,9,39
202607,CNU,충남대학교,19,일반인,10,32
202607,CNU,충남대학교,20,일반인,5,16
202607,CNU,충남대학교,21,일반인,13,28
202607,CNU,충남대학교,22,일반인,3,12
202607,CNU,충남대학교,23,일반인,2,1
202607,CNU,충남대학교,12,어린이,0,1
202607,CNU,충남대학교,10,청소년,0,1
202607,CNU,충남대학교,11,청소년,0,1
202607,CNU,충남대학교,12,청소년,1,2
202607,CNU,충남대학교,13,청소년,0,2
202607,CNU,충남대학교,14,청소년,0,1
