"영업월","역사","승하차 구분","00시 통행량","01시 통행량","02시 통행량","03시 통행량","04시 통행량","05시 통행량","06시 통행량","07시 통행량","08시 통행량","09시 통행량","10시 통행량","11시 통행량","12시 통행량","13시 통행량","14시 통행량","15시 통행량","16시 통행량","17시 통행량","18시 통행량","19시 통행량","20시 통행량","21시 통행량","22시 통행량","23시 통행량"
"2024-09","갈마역","승차","32","0","0","0","0","2019","2970","6648","10492","5653","4241","4390","4147","4350","3865","4021","5155","5352","5018","2831","2308","2242","1227","908"
"2024-09","갈마역","하차","336","0","0","0","1","518","1057","2121","3139","2740","2969","3740","4080","4170","4217","4921","5847","7383","9796","6082","4199","4311","3856","2799"
"2024-09","갑천역","승차","12","0","0","0","2","468","916","2049","4387","2024","1284","1106","1360","1378","1248","1341","1480","1883","2361","959","836","636","363","186"
"2024-09","갑천역","하차","78","0","0","0","1","153","501","1065","2214","1023","1174","1181","1316","1198","1201","1470","1658","1902","3303","1673","1277","1243","952","729"
"2024-09","구암역","승차","11","0","0","0","4","1280","1994","4883","9429","5174","5201","5115","5014","5042","4998","5528","6061","5891","6397","3568","2703","1893","1157","444"
"2024-09","구암역","하차","207","0","0","0","0","398","1660","3613","5878","5081","4768","4859","4717","4362","4622","5222","5809","6898","8547","4543","3505","3493","2326","1322"
"2024-09","노은역","승차","65","0","0","0","2","959","2407","6968","10701","6186","5399","5159","5790","5627","5427","6271","7551","8447","9224","5213","4814","4362","3811","1835"
"2024-09","노은역","하차","476","1","0","0","0","436","1090","3670","7228","6223","4837","4817","5516","6046","6773","7483","9487","10007","13856","7603","5075","4798","4403","2396"
"2024-09","대동역","승차","15","0","5","0","14","2202","3753","8911","13873","7026","5852","5251","6082","6104","5606","7145","10298","9893","9019","4261","2787","2489","1641","906"
"2024-09","대동역","하차","486","0","5","0","14","561","1215","4439","9607","5004","3817","3633","4501","4486","4849","5587","7083","7541","11109","5898","5073","5220","5060","3490"
"2024-09","대전역","승차","62","0","0","0","25","838","5043","13647","17628","16467","18393","19145","20436","19551","22471","25777","26999","27947","26734","20416","16671","16166","11826","5691"
"2024-09","대전역","하차","118","0","0","0","25","4807","12462","19817","23882","20226","20245","22817","19853","22049","21551","22584","23577","22126","22968","13229","10357","7518","4001","1434"
"2024-09","반석역","승차","2","0","0","0","0","1836","5006","18463","25338","14597","9996","9496","9541","9533","8633","9935","11393","14727","18474","8866","6631","5991","5066","2676"
"2024-09","반석역","하차","1009","1","0","0","1","1138","4173","9170","13338","6847","5356","6511","7173","8544","8598","10517","13831","18728","24126","11181","9518","10380","9465","4329"
"2024-09","서대전네거리역","승차","33","0","0","0","83","2685","4004","9700","17807","8216","7771","7979","8121","8150","7341","8496","9950","10675","12234","6295","4713","4243","2976","1828"
"2024-09","서대전네거리역","하차","413","0","0","0","26","1032","2074","5328","13324","7526","6623","7226","7512","8000","7423","8665","10966","13828","19948","9578","6658","6932","6141","3215"
"2024-09","시청역","승차","31","2","0","0","13","1156","2576","5479","9079","6509","7117","8596","9020","8943","9512","10979","14216","19230","29129","11354","11124","11424","12087","5176"
"2024-09","시청역","하차","288","2","0","0","12","1308","3429","10384","35332","15304","9910","9017","9261","10495","10192","10815","14232","15263","18747","9259","5597","5156","3955","2308"
"2024-09","신흥역","승차","0","0","0","0","10","1564","2067","5769","8071","3878","2457","2100","2524","2351","1921","1845","2125","2580","2672","1274","895","546","510","193"
"2024-09","신흥역","하차","152","0","0","0","0","233","741","1316","1968","1196","1474","1616","2028","1815","1892","2816","3572","4056","5848","3377","2278","2407","2144","1139"
"2024-09","오룡역","승차","0","0","0","0","33","2064","2937","8419","16547","6588","4757","5131","5329","5224","4808","5020","6912","7753","13635","4084","2636","2016","1508","778"
"2024-09","오룡역","하차","68","0","0","0","32","391","1400","3870","12134","5401","3569","3785","4055","4114","4199","5347","6193","7579","12280","5176","4080","4017","3521","2511"
"2024-09","용문역","승차","10","8","0","0","52","3047","4675","10334","22143","9560","8426","9126","10085","10373","10461","10043","11638","12032","11664","6614","6186","5992","3175","2776"
"2024-09","용문역","하차","11","8","0","0","35","893","2649","5031","12452","10124","8766","9427","8381","9382","9330","10600","12462","13840","22240","11832","7586","7169","5495","3274"
"2024-09","월드컵경기장역","승차","16","0","0","0","4","567","1822","5541","10021","4452","4114","3682","3373","3763","3467","4215","4731","5367","6058","2836","2087","6266","1488","334"
"2024-09","월드컵경기장역","하차","335","1","0","0","1","371","1138","3931","5258","3059","2786","2713","2804","2854","2907","3351","4801","6670","10139","4426","2857","3029","2550","1457"
"2024-09","월평역","승차","62","0","0","0","2","1887","2786","5967","11527","5571","4730","4873","5252","5368","5258","5555","6357","7073","8093","4161","3234","3114","2005","1017"
"2024-09","월평역","하차","343","0","0","0","7","373","839","2312","6771","5050","4360","4434","4962","4958","5083","5967","6651","8150","11585","6325","4958","5438","4361","3005"
"2024-09","유성온천역","승차","163","0","0","0","5","2813","6015","15561","28366","13033","11761","12271","13474","13555","13628","16034","18830","19871","20810","11855","9498","9271","6237","4012"
"2024-09","유성온천역","하차","691","0","0","0","3","1894","3760","8145","19011","14124","11811","12081","13349","12954","13639","14472","17601","22210","33143","17269","12763","13054","11680","6683"
"2024-09","정부청사역","승차","8","0","0","0","7","1052","1928","5049","8053","5753","5952","7120","7658","7617","8452","10961","13268","18784","33350","9987","7736","6402","4198","1698"
"2024-09","정부청사역","하차","421","0","0","0","2","1697","3981","12094","43930","14418","8568","7742","8139","8388","8154","8099","8841","10410","11893","6447","4673","4775","3314","1625"
"2024-09","중구청역","승차","6","0","0","0","7","595","1319","3082","5528","2719","2370","2838","2795","2871","3056","3480","5381","5483","7693","2435","1869","1922","1501","509"
"2024-09","중구청역","하차","103","0","0","0","7","422","1178","4123","10688","4072","2635","2665","2854","3481","2849","2933","3144","3783","5603","2459","1709","1833","1511","990"
"2024-09","중앙로역","승차","72","0","0","0","1","657","1278","3264","6167","3694","3982","5556","7395","9198","10646","13068","15259","17129","19610","12598","12177","11558","7219","3690"
"2024-09","중앙로역","하차","164","0","0","0","0","619","1218","3655","13865","8988","9984","13171","14510","14901","14578","14137","14194","15700","18132","9354","5153","3648","2371","1239"
"2024-09","지족역","승차","48","0","0","0","15","743","1467","3782","5293","3234","2586","2609","3046","2827","2777","3521","3675","5089","9603","2837","2114","1598","992","593"
"2024-09","지족역","하차","324","0","0","0","15","377","796","2640","12329","3509","2167","1967","2481","2260","2226","2657","3110","3848","4738","2836","2342","2374","2304","1331"
"2024-09","탄방역","승차","2","0","0","0","4","1351","2819","5807","9527","5596","5274","6184","5861","5982","6076","7097","7166","10408","15684","5235","4188","4423","4430","1090"
"2024-09","탄방역","하차","4","0","0","0","0","957","2349","6499","20957","9446","6124","5624","5644","7068","6108","6089","7320","8390","12838","6140","3929","3609","2734","1994"
"2024-09","판암역","승차","32","0","0","0","33","2861","4776","10989","14812","8490","6610","6072","7072","6538","5910","6192","6320","7269","7248","3332","2504","1564","1157","525"
"2024-09","판암역","하차","918","0","0","0","8","384","1593","3599","6436","3574","3996","4405","4577","5030","5056","6841","8466","9084","11983","6363","4880","5193","4854","2047"
"2024-09","현충원역","승차","29","0","0","0","0","434","929","2920","6331","3187","3486","3742","4558","4952","4628","5264","6807","6518","5428","2641","1750","1692","753","154"
"2024-09","현충원역","하차","137","0","0","0","0","213","899","2851","6172","6202","3399","3482","3109","3501","2303","2543","2945","3471","4650","2166","1943","1956","2093","794"
"2024-10","갈마역","승차","27","0","0","0","0","2101","3282","7392","12319","6637","5008","4840","4734","5129","4304","4589","5453","5885","5432","3410","2405","2273","1272","936"
"2024-10","갈마역","하차","437","0","0","0","1","553","1171","2163","3456","2993","3013","3738","4561","4645","4825","5834","6993","8262","11177","6525","4649","4820","4286","2831"
"2024-10","갑천역","승차","6","0","0","0","0","488","977","2137","4796","2363","1434","1210","1464","1548","1449","1529","1643","2230","2731","1087","836","736","380","225"
"2024-10","갑천역","하차","80","0","0","0","3","156","545","1185","2662","1169","1454","1352","1530","1426","1489","1665","1929","2116","3618","1936","1333","1333","1090","757"
"2024-10","구암역","승차","14","0","1","0","5","1347","2200","5269","10535","5542","5239","5796","5365","5577","5498","6001","6545","6266","7039","3889","2904","1950","1215","541"
"2024-10","구암역","하차","210","0","1","0","2","296","1750","3712","6312","5354","5193","5294","5270","5068","5219","5636","6131","7462","9602","4594","3541","3587","2599","1423"
"2024-10","노은역","승차","59","0","0","0","2","1037","2426","7661","12196","6847","5919","6177","6675","6487","6415","7129","8443","9506","10360","5765","4879","4774","4158","1876"
"2024-10","노은역","하차","452","1","0","0","2","438","1055","4151","8226","6859","5348","5496","6234","7020","7860","8556","10435","10988","15246","8356","5525","5249","4713","2531"
"2024-10","대동역","승차","27","0","0","0","25","2454","3887","9800","15560","8123","6624","6526","7488","7195","6376","7498","9992","10402","9571","4468","3036","2548","1856","1188"
"2024-10","대동역","하차","585","0","0","0","21","593","1036","4585","10035","5801","4088","4094","4988","5018","5529","6307","7696","8763","12908","6450","5272","5676","5365","3590"
"2024-10","대전역","승차","84","0","0","0","47","936","4369","13413","19515","17517","19458","20128","21549","20384","23948","27626","28610","28518","28471","21394","17082","17541","13577","6816"
"2024-10","대전역","하차","120","0","0","0","43","4568","12473","21745","27461","22591","21926","24027","20902","22868","22447","22922","25017","23758","25158","14636","10907","7761","5424","1464"
"2024-10","반석역","승차","4","0","0","0","1","2046","5691","20475","28459","16059","11404","10484","10427","10855","9552","10638","12033","15428","20102","9659","7251","6493","5539","2974"
"2024-10","반석역","하차","959","0","0","0","0","1119","4440","9520","14886","7764","5650","6975","7993","9257","9752","11870","15559","21175","26981","12427","10449","10963","10049","4448"
"2024-10","서대전네거리역","승차","28","0","0","0","57","2865","4192","10771","20041","9581","8712","9562","9578","10166","9083","10070","11055","12368","14025","7233","5214","4708","3107","1908"
"2024-10","서대전네거리역","하차","355","0","0","0","13","1122","2271","5700","15670","8940","7574","8726","8213","9486","9073","10114","12933","15204","22325","10460","7244","7154","6448","3520"
"2024-10","시청역","승차","58","4","0","0","11","1188","2764","6271","10340","7358","8031","9765","10309","10583","10849","12547","15555","21998","32649","12232","12299","12498","13276","5345"
"2024-10","시청역","하차","363","3","0","1","8","1535","3659","11615","39691","17567","11239","9968","10825","12260","12284","12528","15354","16781","20200","10026","6364","5587","4134","2616"
"2024-10","신흥역","승차","2","0","0","0","6","1647","2291","6672","9298","4230","2818","2496","2670","2761","2052","1997","2630","2826","2762","1335","987","560","523","165"
"2024-10","신흥역","하차","165","0","0","0","1","302","914","1428","2024","1344","1518","1783","2285","2060","2224","3195","3848","4499","6949","3800","2552","2782","2488","1171"
"2024-10","오룡역","승차","4","0","0","0","35","2134","3140","9566","19210","7878","5472","6006","6860","6309","5669","5327","7536","8571","14600","4698","2719","2249","1445","849"
"2024-10","오룡역","하차","77","0","0","0","33","430","1544","4445","13618","6073","4047","4443","4586","4656","4929","6019","7147","8685","13725","5758","4485","4382","4149","2657"
"2024-10","용문역","승차","16","0","0","0","44","3141","5140","11538","24415","10780","10100","10763","11823","11876","13347","11281","13617","13621","12565","6786","6416","7863","3733","3050"
