sttn_id,sttn_nm
2930134,덕명네거리
2930141,유성자이아파트
2931651,구암역
4300054,반석역
4300064,반석역
6800533,유성온천역7번출구
6800535,충남대학교
6800813,구즉동주민센터입구
6800818,서한이다음2단지
6800849,신동2통
6800850,대동금탄동입구
6800852,금고1통
6800855,구즉동주민센터입구
6800856,협진운수
6800858,금고동
6800859,대동금탄동입구
6800944,반석역
6800945,반석역
6801309,반석역
6801317,반석역
6801331,안산1통
6801332,유성온천역5번출구
6801336,월드컵경기장역
6801337,안산교
6801338,온천교
6801339,유성고속버스터미널
6801340,안산교
6801342,지족초등학교
6801349,노은도서관
6801350,유성온천역6번출구
6801351,유성자이아파트
6801358,KT유성지사
6801359,충남대학교
6801360,KT유성지사
6801366,노은농수산물시장
6801370,온천교
6801374,월드컵경기장역
6801378,유성고속터미널
6801379,봉명동우체국
6801380,유성온천역7번출구
6801381,죽동네거리
6801382,안산1통
6801384,안산산성
6801385,노은역
6801386,노은농수산물시장
6801387,지족초등학교
6801388,지족역
6801389,송림마을아파트
6801390,국방과학연구소입구
6801391,국방과학연구소입구
6801397,노은역
6801398,외삼1통
6801399,반석마을입구
6801400,반석마을입구
6801406,노은도서관
6801408,반석네거리
6801409,지족역
6801413,금고1통
6801414,금고2통
6801418,송강마을아파트
6801423,휴먼시아아파트
6801424,송강마을아파트
6803858,대광로제비앙아파트
6803859,대광로제비앙아파트
6803919,충남대학교
6804095,한진오피스텔
6805540,한진오피스텔
6806503,신동
6806504,신동
6806542,현대아울렛남문
6806543,용산고등학교
6806544,용산고등학교
6806547,씨에이치씨랩
6806548,씨에이치씨랩
6806549,서한이다음1단지
6806550,우미린아파트
6806551,롯데마트대덕점
6806552,롯데마트대덕점
6806553,테크노밸리12단지
6806554,테크노밸리12단지
6806555,테크노밸리6단지
6806556,테크노밸리6단지
6806557,대덕고등학교
6806558,대덕고등학교
6806559,국립중앙과학관입구
6806563,신세계백화점
6806564,현대아울렛북문
6806565,서한이다음2단지
6806566,서한이다음2단지
6806595,테크노밸리2단지
6806596,테크노밸리2단지
6806781,둔곡교차로
6806782,둔곡교차로
6806949,반석역
6806950,반석역
6806951,유성선병원
6806952,유성선병원
6806953,대전월드컵경기장
6806954,대전월드컵경기장
6806955,반석네거리
6806956,반석네거리
8001068,감골
8001070,갑동
8001071,갑동
8001092,계산동
8001093,계산동
8001102,공동관리아파트
8001103,공동관리아파트
8001104,대전광역시인재개발원
8001105,대전광역시인재개발원
8001113,카이스트
8001114,원자력안전기술원
8001136,교도소
8001137,교도소입구
8001138,교도소입구
8001140,교촌3통
8001141,교촌3통
8001146,구룡
8001147,구룡
8001148,구룡2통
8001149,구룡2통
8001150,서한이다음2단지
8001151,서한이다음2단지
8001158,신선마을아파트
8001160,구성삼거리
8001162,구암8통
8001163,구암8통
8001166,구암동
8001167,구암동
8001168,유성복합터미널
8001169,유성복합터미널
8001170,구억들
8001171,구억들
8001178,송강마을아파트
8001179,휴먼시아아파트
8001182,국립중앙과학관
8001183,국립중앙과학관
8001184,국립대전현충원
8001185,국립대전현충원
8001186,국방과학연구소입구
8001188,국방과학연구소입구
8001189,군수사령부
8001190,군수사령부
8001191,군인아파트
8001192,궁동
8001193,궁동
8001194,장대네거리
8001195,장대네거리
8001196,궁동교
8001200,그린아파트
8001206,반석네거리
8001207,금강유역환경청
8001210,금고2통
8001211,금고2통
8001212,금고동
8001219,정보통신공사협회
8001223,금탄동종점
8001268,노은농수산물시장
8001269,노은농수산물시장
8001270,노은농수산시장
8001271,노은농수산시장
8001272,노은역
8001273,노은역
8001282,장대네거리
8001283,북부여성가족원
8001284,북부여성가족원
8001285,대광로제비앙아파트
8001286,대광로제비앙아파트
8001293,한국연구재단
8001296,다솔아파트
8001299,KT&G연구소
8001303,테크노밸리2단지
8001304,테크노밸리2단지
8001305,테크노밸리5단지
8001306,테크노밸리4단지
8001311,대덕고등학교
8001312,대덕고등학교
8001318,대덕대학교
8001319,대덕대학교
8001320,북대전IC네거리
8001321,북대전IC네거리
8001324,대덕중학교
8001325,대덕중학교
8001326,대덕터널입구
8001329,연구단지네거리
8001330,SK뷰아파트
8001331,삼성푸른아파트
8001332,선비마을
8001333,대동
8001334,대동
8001335,대동2통
8001336,대동1통
8001337,대동1통
8001338,대동
8001339,대동
8001340,대동금탄동입구
8001342,대동보건소
8001431,대전지방기상청
8001432,대전지방기상청
8001438,대정2통
8001439,대정동
8001440,대정동
8001512,돌마루
8001513,돌마루
8001555,관평중학교
8001556,관평중학교
8001557,계룡과선교
8001558,계룡과선교
8001559,계룡과선교
8001561,둔곡동
8001562,둔곡동
8001564,둔곡3교
8001577,한샘근린공원
8001578,한샘근린공원
8001579,드리움아파트
8001580,드리움아파트
8001584,롯데마트서대전점
8001585,롯데마트대덕점
8001586,롯데마트대덕점
8001590,봉명동우체국
8001596,만년교
8001644,옥녀봉네거리
8001650,한빛탑
8001656,문지네거리
8001657,문지네거리
8001658,문지네거리
8001675,반석2통
8001676,반석2통
8001677,반석역3번출구
8001680,반석역
8001681,반석역
8001686,방동1통
8001687,방동1통
8001688,방동1통
8001689,방동1통
8001690,방동3통
8001691,방동4통
8001692,방동4통
8001693,방동5통
8001694,방동5통
8001695,방동길
8001696,방동길
8001697,방동대교
8001698,방동새운네
8001699,방동새운네
8001700,방동저수지
8001701,방동저수지
8001702,방동저수지
8001703,유성구보훈회관
8001704,유성구보훈회관
8001705,방현동
8001706,방현동
8001727,삼양사중앙연구소
8001742,보건환경연구원
8001756,복용2통
8001757,복용2통
8001758,복용동
8001759,복용동
8001764,복지관
8001770,성북1통마을회관
8001771,성북1통마을회관
8001772,유성온천역2번출구
8001773,유성온천역3번출구
8001774,봉명동
8001775,봉명동
8001777,온천1동주민센터
8001778,협진운수
8001780,협진운수
8001782,송강마을아파트
8001783,봉산동기점
8001793,송강전통시장
8001794,송강전통시장
8001795,KT북대전지사
8001819,사봉
8001866,삼박골
8001867,삼박골
8001877,삼성화재연수원
8001878,삼성화재연수원
8001892,삿갓집
8001893,삿갓집
8001914,샘물타운아파트
8001915,샘물타운아파트
8001916,샘물타운아파트
8001944,서대전IC
8001946,서대전IC
8001997,성덕중학교
8002002,성북1통
8002006,성북2통동구나무
8002007,성북2통동구나무
8002008,성북2통마을회관앞
8002009,성북2통마을회관앞
8002013,성북3통굿개말길
8002014,성북3통마을회관
8002015,성북3통마을회관
8002017,성북동산림욕장
8002020,세동2통
8002021,세동2통
8002022,세동종점
8002025,세종아파트
8002026,세종아파트
8002047,원촌동솔로몬로파크
8002048,송강전통시장
8002049,송강전통시장
8002050,송강초등학교
8002052,송림마을2단지
8002053,송림마을3단지
8002054,송림마을4단지
8002056,송림마을1단지
8002058,송정1통
8002059,송정2통
8002060,송정2통
8002062,송정소징이
8002070,수운교입구
8002071,LH연구원
8002072,LH연구원
