bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,node_id
MA010120220806534291,공감센서,,M1,과학·기술,M109,기술 서비스,M10904,환경 관련 엔지니어링 서비스업,M72122,환경 관련 엔지니어링 서비스업,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,한국전자통신연구원,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220814237200,따뜻한메이커연구소,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,P85669,기타 기술 및 직업 훈련학원,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220806250162,한국전자통신연구원노동조합소비조합,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220806213051,LINetworks,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,P85669,기타 기술 및 직업 훈련학원,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220801061020,디에떼에스프레소에트리융합점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,1,,127.36523306537,36.3826641533004,etri
MA0101202302A0079573,한국안전통신기술,,P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관,P85699,그 외 기타 분류 안된 교육기관,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,,대전광역시 유성구 가정로 218,305700,34129,,3,,127.36523306537,36.3826641533004,etri
MA010120220808702130,뿌리산업창조혁신연구원,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,P85669,기타 기술 및 직업 훈련학원,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,1,,127.36523306537,36.3826641533004,etri
MA010120220806253662,엔에스이,,M1,과학·기술,M109,기술 서비스,M10904,환경 관련 엔지니어링 서비스업,M72122,환경 관련 엔지니어링 서비스업,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,한국전자통신연구원,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220806765008,엠엠에스벤처스,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,,,127.36523306537,36.3826641533004,etri
MA010120220813109159,씨쓰리마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,30,대전광역시,30200,유성구,30200550,신성동,3020012600,가정동,3020012600101610000,1,대지,161,,대전광역시 유성구 가정동 161,302003167001,대전광역시 유성구 가정로,218,,3020012600100320000008090,생산센터,대전광역시 유성구 가정로 218,305700,34129,,1,,127.36523306537,36.3826641533004,etri
