날짜,노드,대여,야간대여,시전체대여,시전체야간
2024-08-01,etri,3,0,15904,2898
2024-08-01,kier,9,1,15904,2898
2024-08-01,kiom,4,0,15904,2898
2024-08-01,kribb,23,6,15904,2898
2024-08-01,krict,9,0,15904,2898
2024-08-01,단지_KTG중앙연구원,3,0,15904,2898
2024-08-01,단지_LG생활건강,1,0,15904,2898
2024-08-01,단지_연구단지네거리,6,1,15904,2898
2024-08-01,단지_연구단지운동장,15,0,15904,2898
2024-08-01,단지_한화솔루션,3,0,15904,2898
2024-08-01,대조_충남대,291,44,15904,2898
2024-08-02,etri,5,0,16022,2937
2024-08-02,kier,1,0,16022,2937
2024-08-02,kiom,4,0,16022,2937
2024-08-02,kribb,20,1,16022,2937
2024-08-02,krict,4,0,16022,2937
2024-08-02,단지_KTG중앙연구원,3,1,16022,2937
2024-08-02,단지_LG생활건강,1,0,16022,2937
2024-08-02,단지_연구단지네거리,15,1,16022,2937
2024-08-02,단지_연구단지운동장,12,1,16022,2937
2024-08-02,단지_한화솔루션,2,1,16022,2937
2024-08-02,대조_충남대,264,41,16022,2937
2024-08-03,etri,3,0,13525,2502
2024-08-03,kier,3,0,13525,2502
2024-08-03,kiom,2,0,13525,2502
2024-08-03,kribb,3,0,13525,2502
2024-08-03,krict,2,0,13525,2502
2024-08-03,단지_KTG중앙연구원,2,0,13525,2502
2024-08-03,단지_LG생활건강,2,0,13525,2502
2024-08-03,단지_연구단지네거리,10,4,13525,2502
2024-08-03,단지_연구단지운동장,14,2,13525,2502
2024-08-03,단지_한화솔루션,2,2,13525,2502
2024-08-03,대조_충남대,193,36,13525,2502
2024-08-04,etri,1,0,10371,2078
2024-08-04,kier,4,2,10371,2078
2024-08-04,kiom,3,0,10371,2078
2024-08-04,kribb,14,3,10371,2078
2024-08-04,krict,1,0,10371,2078
2024-08-04,단지_연구단지네거리,9,1,10371,2078
2024-08-04,단지_연구단지운동장,16,2,10371,2078
2024-08-04,단지_한화솔루션,9,2,10371,2078
2024-08-04,대조_충남대,191,43,10371,2078
2024-08-05,etri,5,1,12103,2383
2024-08-05,kier,6,1,12103,2383
2024-08-05,kiom,2,0,12103,2383
2024-08-05,kribb,15,1,12103,2383
2024-08-05,krict,5,1,12103,2383
2024-08-05,단지_연구단지네거리,8,0,12103,2383
2024-08-05,단지_연구단지운동장,8,1,12103,2383
2024-08-05,단지_한화솔루션,3,1,12103,2383
2024-08-05,대조_충남대,204,40,12103,2383
2024-08-06,etri,5,0,16491,3088
2024-08-06,kier,11,1,16491,3088
2024-08-06,kiom,3,0,16491,3088
2024-08-06,kribb,24,5,16491,3088
2024-08-06,krict,19,1,16491,3088
2024-08-06,단지_KTG중앙연구원,5,1,16491,3088
2024-08-06,단지_LG생활건강,1,0,16491,3088
2024-08-06,단지_연구단지네거리,13,2,16491,3088
2024-08-06,단지_연구단지운동장,27,5,16491,3088
2024-08-06,대조_충남대,341,59,16491,3088
2024-08-07,etri,5,0,16798,2688
2024-08-07,kier,6,0,16798,2688
2024-08-07,kiom,1,0,16798,2688
2024-08-07,kribb,23,2,16798,2688
2024-08-07,krict,12,0,16798,2688
2024-08-07,단지_KTG중앙연구원,4,0,16798,2688
2024-08-07,단지_LG생활건강,2,0,16798,2688
2024-08-07,단지_연구단지네거리,9,2,16798,2688
2024-08-07,단지_연구단지운동장,17,1,16798,2688
2024-08-07,단지_한화솔루션,4,1,16798,2688
2024-08-07,대조_충남대,302,32,16798,2688
2024-08-08,etri,6,0,18272,3054
2024-08-08,kier,5,1,18272,3054
2024-08-08,kiom,4,0,18272,3054
2024-08-08,kribb,25,7,18272,3054
2024-08-08,krict,12,0,18272,3054
2024-08-08,단지_KTG중앙연구원,4,1,18272,3054
2024-08-08,단지_연구단지네거리,11,2,18272,3054
2024-08-08,단지_연구단지운동장,20,5,18272,3054
2024-08-08,단지_한화솔루션,4,0,18272,3054
2024-08-08,대조_충남대,361,48,18272,3054
2024-08-09,etri,2,0,18977,3274
2024-08-09,kier,2,0,18977,3274
2024-08-09,kiom,5,0,18977,3274
2024-08-09,kribb,25,1,18977,3274
2024-08-09,krict,11,0,18977,3274
2024-08-09,단지_KTG중앙연구원,2,1,18977,3274
2024-08-09,단지_LG생활건강,2,0,18977,3274
2024-08-09,단지_연구단지네거리,12,3,18977,3274
2024-08-09,단지_연구단지운동장,22,1,18977,3274
2024-08-09,단지_한화솔루션,5,0,18977,3274
2024-08-09,대조_충남대,323,34,18977,3274
2024-08-10,etri,1,0,16389,2823
2024-08-10,kier,5,1,16389,2823
2024-08-10,kiom,4,0,16389,2823
2024-08-10,kribb,15,1,16389,2823
2024-08-10,krict,3,0,16389,2823
2024-08-10,단지_KTG중앙연구원,7,1,16389,2823
2024-08-10,단지_연구단지네거리,12,0,16389,2823
2024-08-10,단지_연구단지운동장,20,7,16389,2823
2024-08-10,단지_한화솔루션,4,0,16389,2823
2024-08-10,대조_충남대,204,32,16389,2823
2024-08-11,etri,1,0,14205,2290
2024-08-11,kier,1,0,14205,2290
2024-08-11,kiom,3,0,14205,2290
2024-08-11,kribb,6,1,14205,2290
2024-08-11,krict,4,0,14205,2290
2024-08-11,단지_KTG중앙연구원,4,1,14205,2290
2024-08-11,단지_LG생활건강,1,0,14205,2290
2024-08-11,단지_연구단지네거리,15,0,14205,2290
2024-08-11,단지_연구단지운동장,12,2,14205,2290
2024-08-11,단지_한화솔루션,4,2,14205,2290
2024-08-11,대조_충남대,244,35,14205,2290
2024-08-12,etri,3,0,17121,2911
2024-08-12,kier,3,0,17121,2911
2024-08-12,kiom,4,0,17121,2911
2024-08-12,kribb,26,1,17121,2911
2024-08-12,krict,7,2,17121,2911
2024-08-12,단지_KTG중앙연구원,4,2,17121,2911
2024-08-12,단지_연구단지네거리,9,5,17121,2911
2024-08-12,단지_연구단지운동장,14,5,17121,2911
2024-08-12,단지_한화솔루션,4,0,17121,2911
2024-08-12,대조_충남대,364,41,17121,2911
2024-08-13,etri,4,0,15968,2644
2024-08-13,kier,2,0,15968,2644
2024-08-13,kiom,3,0,15968,2644
2024-08-13,kribb,18,0,15968,2644
2024-08-13,krict,3,0,15968,2644
2024-08-13,단지_KTG중앙연구원,5,0,15968,2644
2024-08-13,단지_LG생활건강,2,0,15968,2644
2024-08-13,단지_연구단지네거리,9,0,15968,2644
2024-08-13,단지_연구단지운동장,18,2,15968,2644
2024-08-13,단지_한화솔루션,1,0,15968,2644
2024-08-13,대조_충남대,312,25,15968,2644
2024-08-14,etri,4,0,18854,3437
2024-08-14,kier,5,0,18854,3437
2024-08-14,kiom,4,0,18854,3437
2024-08-14,kribb,20,1,18854,3437
2024-08-14,krict,6,0,18854,3437
2024-08-14,단지_KTG중앙연구원,3,0,18854,3437
2024-08-14,단지_연구단지네거리,21,3,18854,3437
2024-08-14,단지_연구단지운동장,17,2,18854,3437
2024-08-14,단지_한화솔루션,7,1,18854,3437
2024-08-14,대조_충남대,335,47,18854,3437
2024-08-15,etri,1,0,15590,2713
2024-08-15,kier,5,1,15590,2713
2024-08-15,kiom,1,0,15590,2713
2024-08-15,kribb,20,5,15590,2713
2024-08-15,krict,2,0,15590,2713
2024-08-15,단지_KTG중앙연구원,6,1,15590,2713
2024-08-15,단지_연구단지네거리,10,0,15590,2713
2024-08-15,단지_연구단지운동장,15,0,15590,2713
2024-08-15,단지_한화솔루션,3,1,15590,2713
2024-08-15,대조_충남대,269,47,15590,2713
2024-08-16,etri,8,0,18722,3327
2024-08-16,kier,5,0,18722,3327
2024-08-16,kiom,7,1,18722,3327
2024-08-16,kribb,21,2,18722,3327
2024-08-16,krict,8,1,18722,3327
2024-08-16,단지_KTG중앙연구원,2,0,18722,3327
2024-08-16,단지_LG생활건강,1,0,18722,3327
2024-08-16,단지_연구단지네거리,15,3,18722,3327
2024-08-16,단지_연구단지운동장,20,3,18722,3327
2024-08-16,단지_한화솔루션,3,1,18722,3327
2024-08-16,대조_충남대,292,51,18722,3327
2024-08-17,etri,3,2,17077,3213
2024-08-17,kier,5,1,17077,3213
2024-08-17,kiom,2,0,17077,3213
2024-08-17,kribb,11,2,17077,3213
2024-08-17,krict,1,0,17077,3213
2024-08-17,단지_KTG중앙연구원,5,0,17077,3213
2024-08-17,단지_LG생활건강,3,0,17077,3213
2024-08-17,단지_연구단지네거리,11,2,17077,3213
2024-08-17,단지_연구단지운동장,18,3,17077,3213
2024-08-17,단지_한화솔루션,5,0,17077,3213
2024-08-17,대조_충남대,206,44,17077,3213
2024-08-18,etri,2,1,14302,2355
2024-08-18,kier,4,0,14302,2355
2024-08-18,kiom,5,0,14302,2355
2024-08-18,kribb,9,0,14302,2355
2024-08-18,krict,1,0,14302,2355
2024-08-18,단지_KTG중앙연구원,2,0,14302,2355
2024-08-18,단지_연구단지네거리,10,3,14302,2355
2024-08-18,단지_연구단지운동장,19,0,14302,2355
2024-08-18,단지_한화솔루션,3,0,14302,2355
2024-08-18,대조_충남대,212,30,14302,2355
2024-08-19,etri,5,0,16480,2948
2024-08-19,kier,4,0,16480,2948
2024-08-19,kiom,5,0,16480,2948
2024-08-19,kribb,23,2,16480,2948
2024-08-19,krict,5,1,16480,2948
2024-08-19,단지_KTG중앙연구원,9,0,16480,2948
2024-08-19,단지_LG생활건강,1,0,16480,2948
2024-08-19,단지_연구단지네거리,7,1,16480,2948
2024-08-19,단지_연구단지운동장,17,4,16480,2948
2024-08-19,단지_한화솔루션,2,0,16480,2948
2024-08-19,대조_충남대,303,34,16480,2948
2024-08-20,etri,5,0,13670,2346
2024-08-20,kier,6,0,13670,2346
2024-08-20,kiom,3,0,13670,2346
2024-08-20,kribb,16,0,13670,2346
2024-08-20,krict,7,1,13670,2346
2024-08-20,단지_KTG중앙연구원,1,0,13670,2346
2024-08-20,단지_LG생활건강,1,0,13670,2346
2024-08-20,단지_연구단지네거리,8,1,13670,2346
2024-08-20,단지_연구단지운동장,16,1,13670,2346
2024-08-20,대조_충남대,261,43,13670,2346
2024-08-21,etri,3,0,13920,2564
2024-08-21,kier,8,1,13920,2564
2024-08-21,kiom,2,0,13920,2564
2024-08-21,kribb,14,2,13920,2564
2024-08-21,krict,4,0,13920,2564
2024-08-21,단지_KTG중앙연구원,3,0,13920,2564
2024-08-21,단지_LG생활건강,2,0,13920,2564
2024-08-21,단지_연구단지네거리,8,3,13920,2564
2024-08-21,단지_연구단지운동장,16,6,13920,2564
2024-08-21,단지_한화솔루션,4,0,13920,2564
2024-08-21,대조_충남대,297,40,13920,2564
2024-08-22,etri,7,0,15337,2899
2024-08-22,kier,9,0,15337,2899
2024-08-22,kiom,4,0,15337,2899
2024-08-22,kribb,22,3,15337,2899
2024-08-22,krict,3,1,15337,2899
2024-08-22,단지_KTG중앙연구원,1,0,15337,2899
2024-08-22,단지_연구단지네거리,12,1,15337,2899
2024-08-22,단지_연구단지운동장,25,7,15337,2899
2024-08-22,단지_한화솔루션,3,0,15337,2899
2024-08-22,대조_충남대,283,46,15337,2899
2024-08-23,etri,6,0,19330,3498
2024-08-23,kier,5,0,19330,3498
2024-08-23,kiom,3,0,19330,3498
2024-08-23,kribb,21,0,19330,3498
2024-08-23,krict,4,0,19330,3498
2024-08-23,단지_KTG중앙연구원,5,0,19330,3498
2024-08-23,단지_LG생활건강,3,0,19330,3498
2024-08-23,단지_연구단지네거리,11,1,19330,3498
2024-08-23,단지_연구단지운동장,28,4,19330,3498
2024-08-23,단지_한화솔루션,5,0,19330,3498
2024-08-23,대조_충남대,331,59,19330,3498
2024-08-24,etri,5,4,17370,3073
2024-08-24,kier,5,1,17370,3073
2024-08-24,kiom,4,1,17370,3073
2024-08-24,kribb,13,3,17370,3073
2024-08-24,krict,2,0,17370,3073
2024-08-24,단지_KTG중앙연구원,4,1,17370,3073
2024-08-24,단지_LG생활건강,3,0,17370,3073
2024-08-24,단지_연구단지네거리,12,1,17370,3073
2024-08-24,단지_연구단지운동장,24,2,17370,3073
2024-08-24,단지_한화솔루션,4,2,17370,3073
2024-08-24,대조_충남대,301,47,17370,3073
2024-08-25,etri,7,3,15347,2466
2024-08-25,kier,5,2,15347,2466
2024-08-25,kiom,4,0,15347,2466
2024-08-25,kribb,17,6,15347,2466
2024-08-25,krict,3,1,15347,2466
2024-08-25,단지_연구단지네거리,11,2,15347,2466
2024-08-25,단지_연구단지운동장,21,2,15347,2466
2024-08-25,단지_한화솔루션,7,1,15347,2466
2024-08-25,대조_충남대,215,46,15347,2466
2024-08-26,etri,7,0,17700,2809
2024-08-26,kier,11,0,17700,2809
2024-08-26,kiom,3,0,17700,2809
2024-08-26,kribb,29,4,17700,2809
2024-08-26,krict,9,0,17700,2809
2024-08-26,단지_LG생활건강,3,0,17700,2809
2024-08-26,단지_연구단지네거리,11,3,17700,2809
2024-08-26,단지_연구단지운동장,31,2,17700,2809
2024-08-26,단지_한화솔루션,4,1,17700,2809
2024-08-26,대조_충남대,313,56,17700,2809
2024-08-27,etri,10,0,17766,3209
2024-08-27,kier,9,0,17766,3209
2024-08-27,kiom,4,1,17766,3209
2024-08-27,kribb,23,2,17766,3209
2024-08-27,krict,11,1,17766,3209
2024-08-27,단지_KTG중앙연구원,4,0,17766,3209
2024-08-27,단지_LG생활건강,3,0,17766,3209
2024-08-27,단지_연구단지네거리,34,7,17766,3209
2024-08-27,단지_연구단지운동장,25,3,17766,3209
2024-08-27,단지_한화솔루션,3,0,17766,3209
2024-08-27,대조_충남대,242,43,17766,3209
2024-08-28,etri,5,0,19864,3291
2024-08-28,kier,13,1,19864,3291
2024-08-28,kiom,3,0,19864,3291
2024-08-28,kribb,22,6,19864,3291
2024-08-28,krict,9,0,19864,3291
2024-08-28,단지_KTG중앙연구원,10,2,19864,3291
2024-08-28,단지_LG생활건강,3,0,19864,3291
2024-08-28,단지_연구단지네거리,10,3,19864,3291
2024-08-28,단지_연구단지운동장,30,6,19864,3291
2024-08-28,단지_한화솔루션,4,0,19864,3291
2024-08-28,대조_충남대,297,44,19864,3291
2024-08-29,etri,5,1,19413,3259
2024-08-29,kier,9,0,19413,3259
2024-08-29,kiom,3,0,19413,3259
2024-08-29,kribb,28,2,19413,3259
2024-08-29,krict,9,0,19413,3259
2024-08-29,단지_KTG중앙연구원,10,2,19413,3259
2024-08-29,단지_연구단지네거리,24,3,19413,3259
2024-08-29,단지_연구단지운동장,15,4,19413,3259
2024-08-29,대조_충남대,263,33,19413,3259
2024-08-30,etri,3,0,20828,3681
2024-08-30,kier,9,0,20828,3681
2024-08-30,kiom,6,0,20828,3681
2024-08-30,kribb,16,1,20828,3681
2024-08-30,krict,2,0,20828,3681
2024-08-30,단지_KTG중앙연구원,3,0,20828,3681
2024-08-30,단지_LG생활건강,1,0,20828,3681
2024-08-30,단지_연구단지네거리,5,1,20828,3681
2024-08-30,단지_연구단지운동장,8,0,20828,3681
2024-08-30,단지_한화솔루션,1,0,20828,3681
2024-08-30,대조_충남대,316,46,20828,3681
2024-08-31,etri,2,0,19169,3112
2024-08-31,kier,4,1,19169,3112
2024-08-31,kiom,2,0,19169,3112
2024-08-31,kribb,11,0,19169,3112
2024-08-31,단지_KTG중앙연구원,11,3,19169,3112
2024-08-31,단지_LG생활건강,1,0,19169,3112
2024-08-31,단지_연구단지네거리,7,2,19169,3112
2024-08-31,단지_연구단지운동장,17,5,19169,3112
2024-08-31,단지_한화솔루션,2,0,19169,3112
2024-08-31,대조_충남대,264,39,19169,3112
2024-09-01,etri,3,1,17240,2637
2024-09-01,kier,4,1,17240,2637
2024-09-01,kiom,6,0,17240,2637
2024-09-01,kribb,16,4,17240,2637
2024-09-01,단지_KTG중앙연구원,8,0,17240,2637
2024-09-01,단지_연구단지네거리,20,2,17240,2637
2024-09-01,단지_연구단지운동장,28,2,17240,2637
2024-09-01,단지_한화솔루션,6,0,17240,2637
2024-09-01,대조_충남대,346,89,17240,2637
2024-09-02,etri,7,1,19769,3255
2024-09-02,kier,8,1,19769,3255
2024-09-02,kiom,8,2,19769,3255
2024-09-02,kribb,29,3,19769,3255
2024-09-02,krict,5,0,19769,3255
2024-09-02,단지_KTG중앙연구원,4,0,19769,3255
2024-09-02,단지_연구단지네거리,11,3,19769,3255
2024-09-02,단지_연구단지운동장,21,5,19769,3255
2024-09-02,단지_한화솔루션,4,0,19769,3255
2024-09-02,대조_충남대,475,55,19769,3255
2024-09-03,etri,3,0,20287,3207
2024-09-03,kier,7,0,20287,3207
2024-09-03,kiom,1,0,20287,3207
2024-09-03,kribb,31,3,20287,3207
2024-09-03,krict,7,1,20287,3207
2024-09-03,단지_KTG중앙연구원,11,0,20287,3207
2024-09-03,단지_LG생활건강,2,0,20287,3207
2024-09-03,단지_연구단지네거리,20,5,20287,3207
2024-09-03,단지_연구단지운동장,25,7,20287,3207
2024-09-03,단지_한화솔루션,3,0,20287,3207
2024-09-03,대조_충남대,550,59,20287,3207
2024-09-04,etri,3,0,20602,3354
2024-09-04,kier,9,1,20602,3354
2024-09-04,kiom,4,0,20602,3354
2024-09-04,kribb,32,6,20602,3354
2024-09-04,krict,13,3,20602,3354
2024-09-04,단지_KTG중앙연구원,9,1,20602,3354
2024-09-04,단지_LG생활건강,1,1,20602,3354
2024-09-04,단지_연구단지네거리,15,1,20602,3354
2024-09-04,단지_연구단지운동장,24,1,20602,3354
2024-09-04,단지_한화솔루션,1,0,20602,3354
2024-09-04,대조_충남대,564,65,20602,3354
2024-09-05,etri,3,0,19712,3044
2024-09-05,kier,17,4,19712,3044
2024-09-05,kiom,2,0,19712,3044
2024-09-05,kribb,37,4,19712,3044
2024-09-05,krict,14,1,19712,3044
2024-09-05,단지_KTG중앙연구원,13,1,19712,3044
2024-09-05,단지_연구단지네거리,11,0,19712,3044
2024-09-05,단지_연구단지운동장,40,5,19712,3044
2024-09-05,단지_한화솔루션,1,0,19712,3044
2024-09-05,대조_충남대,509,41,19712,3044
2024-09-06,etri,3,0,17274,2441
2024-09-06,kier,9,0,17274,2441
2024-09-06,kiom,4,0,17274,2441
2024-09-06,kribb,26,1,17274,2441
2024-09-06,krict,3,0,17274,2441
2024-09-06,단지_KTG중앙연구원,5,0,17274,2441
2024-09-06,단지_LG생활건강,1,0,17274,2441
2024-09-06,단지_연구단지네거리,13,2,17274,2441
2024-09-06,단지_연구단지운동장,13,0,17274,2441
2024-09-06,단지_한화솔루션,3,0,17274,2441
2024-09-06,대조_충남대,466,48,17274,2441
2024-09-07,etri,1,0,20849,3332
2024-09-07,kier,11,3,20849,3332
2024-09-07,kiom,3,0,20849,3332
2024-09-07,kribb,18,2,20849,3332
2024-09-07,단지_KTG중앙연구원,11,1,20849,3332
2024-09-07,단지_연구단지네거리,21,2,20849,3332
2024-09-07,단지_연구단지운동장,36,5,20849,3332
2024-09-07,단지_한화솔루션,3,0,20849,3332
2024-09-07,대조_충남대,296,42,20849,3332
2024-09-08,etri,1,0,17469,2642
2024-09-08,kier,7,1,17469,2642
2024-09-08,kiom,3,0,17469,2642
2024-09-08,kribb,18,2,17469,2642
2024-09-08,krict,1,0,17469,2642
2024-09-08,단지_KTG중앙연구원,6,1,17469,2642
2024-09-08,단지_LG생활건강,2,0,17469,2642
2024-09-08,단지_연구단지네거리,10,2,17469,2642
2024-09-08,단지_연구단지운동장,20,2,17469,2642
2024-09-08,단지_한화솔루션,1,0,17469,2642
2024-09-08,대조_충남대,321,72,17469,2642
2024-09-09,etri,3,0,18931,2971
2024-09-09,kier,10,1,18931,2971
2024-09-09,kiom,5,1,18931,2971
2024-09-09,kribb,31,1,18931,2971
2024-09-09,krict,4,0,18931,2971
2024-09-09,단지_KTG중앙연구원,8,1,18931,2971
2024-09-09,단지_LG생활건강,1,0,18931,2971
2024-09-09,단지_연구단지네거리,11,1,18931,2971
2024-09-09,단지_연구단지운동장,17,1,18931,2971
2024-09-09,단지_한화솔루션,4,0,18931,2971
2024-09-09,대조_충남대,557,66,18931,2971
2024-09-10,etri,5,0,19083,3127
2024-09-10,kier,13,0,19083,3127
2024-09-10,kiom,2,0,19083,3127
2024-09-10,kribb,25,6,19083,3127
2024-09-10,krict,5,1,19083,3127
2024-09-10,단지_KTG중앙연구원,3,0,19083,3127
2024-09-10,단지_LG생활건강,2,1,19083,3127
2024-09-10,단지_연구단지네거리,14,2,19083,3127
2024-09-10,단지_연구단지운동장,22,0,19083,3127
2024-09-10,단지_한화솔루션,3,0,19083,3127
2024-09-10,대조_충남대,564,46,19083,3127
2024-09-11,etri,1,0,12114,1777
2024-09-11,kier,5,1,12114,1777
2024-09-11,kiom,3,1,12114,1777
2024-09-11,kribb,13,7,12114,1777
2024-09-11,krict,11,4,12114,1777
2024-09-11,단지_KTG중앙연구원,2,0,12114,1777
2024-09-11,단지_연구단지네거리,13,0,12114,1777
2024-09-11,단지_연구단지운동장,12,1,12114,1777
2024-09-11,단지_한화솔루션,3,0,12114,1777
2024-09-11,대조_충남대,449,45,12114,1777
2024-09-12,etri,5,0,15654,2961
2024-09-12,kier,7,1,15654,2961
2024-09-12,kiom,4,0,15654,2961
2024-09-12,kribb,33,5,15654,2961
2024-09-12,krict,6,0,15654,2961
2024-09-12,단지_KTG중앙연구원,3,0,15654,2961
2024-09-12,단지_LG생활건강,1,0,15654,2961
2024-09-12,단지_연구단지네거리,13,2,15654,2961
2024-09-12,단지_연구단지운동장,18,1,15654,2961
2024-09-12,대조_충남대,382,36,15654,2961
2024-09-13,etri,9,0,21108,3319
2024-09-13,kier,13,2,21108,3319
2024-09-13,kiom,3,0,21108,3319
2024-09-13,kribb,32,0,21108,3319
2024-09-13,krict,16,1,21108,3319
2024-09-13,단지_KTG중앙연구원,8,0,21108,3319
2024-09-13,단지_LG생활건강,4,0,21108,3319
2024-09-13,단지_연구단지네거리,18,1,21108,3319
2024-09-13,단지_연구단지운동장,36,4,21108,3319
2024-09-13,단지_한화솔루션,6,2,21108,3319
2024-09-13,대조_충남대,397,53,21108,3319
2024-09-14,etri,2,1,18039,2962
2024-09-14,kier,8,3,18039,2962
2024-09-14,kiom,4,0,18039,2962
2024-09-14,kribb,4,0,18039,2962
2024-09-14,krict,2,2,18039,2962
2024-09-14,단지_KTG중앙연구원,4,0,18039,2962
2024-09-14,단지_연구단지네거리,12,3,18039,2962
2024-09-14,단지_연구단지운동장,18,2,18039,2962
2024-09-14,단지_한화솔루션,2,0,18039,2962
2024-09-14,대조_충남대,247,22,18039,2962
2024-09-15,etri,1,0,14078,2513
2024-09-15,kier,3,1,14078,2513
2024-09-15,kiom,1,0,14078,2513
2024-09-15,kribb,4,1,14078,2513
2024-09-15,krict,2,0,14078,2513
2024-09-15,단지_KTG중앙연구원,1,0,14078,2513
2024-09-15,단지_LG생활건강,1,0,14078,2513
2024-09-15,단지_연구단지네거리,9,3,14078,2513
2024-09-15,단지_연구단지운동장,10,1,14078,2513
2024-09-15,단지_한화솔루션,1,0,14078,2513
2024-09-15,대조_충남대,146,27,14078,2513
2024-09-16,etri,2,2,12607,2147
2024-09-16,kribb,6,0,12607,2147
2024-09-16,단지_KTG중앙연구원,1,1,12607,2147
2024-09-16,단지_연구단지네거리,3,1,12607,2147
2024-09-16,단지_연구단지운동장,10,2,12607,2147
2024-09-16,대조_충남대,125,15,12607,2147
2024-09-17,etri,1,0,10222,2347
2024-09-17,kiom,1,0,10222,2347
2024-09-17,kribb,7,0,10222,2347
2024-09-17,단지_KTG중앙연구원,3,0,10222,2347
2024-09-17,단지_연구단지네거리,5,0,10222,2347
2024-09-17,단지_연구단지운동장,7,2,10222,2347
2024-09-17,단지_한화솔루션,1,0,10222,2347
2024-09-17,대조_충남대,142,34,10222,2347
2024-09-18,kier,7,0,10467,1329
2024-09-18,kiom,1,0,10467,1329
2024-09-18,kribb,14,1,10467,1329
2024-09-18,단지_KTG중앙연구원,3,0,10467,1329
2024-09-18,단지_연구단지네거리,3,0,10467,1329
2024-09-18,단지_연구단지운동장,19,2,10467,1329
2024-09-18,단지_한화솔루션,3,0,10467,1329
2024-09-18,대조_충남대,228,45,10467,1329
2024-09-19,etri,2,0,17144,2826
2024-09-19,kier,9,1,17144,2826
2024-09-19,kiom,7,0,17144,2826
2024-09-19,kribb,29,5,17144,2826
2024-09-19,krict,6,1,17144,2826
2024-09-19,단지_KTG중앙연구원,7,0,17144,2826
2024-09-19,단지_연구단지네거리,18,2,17144,2826
2024-09-19,단지_연구단지운동장,27,3,17144,2826
2024-09-19,대조_충남대,422,39,17144,2826
2024-09-20,etri,1,0,6406,562
2024-09-20,kier,11,2,6406,562
2024-09-20,kribb,3,0,6406,562
2024-09-20,krict,2,0,6406,562
2024-09-20,단지_KTG중앙연구원,4,0,6406,562
2024-09-20,단지_LG생활건강,1,0,6406,562
2024-09-20,단지_연구단지네거리,4,1,6406,562
2024-09-20,단지_연구단지운동장,9,0,6406,562
2024-09-20,단지_한화솔루션,1,0,6406,562
2024-09-20,대조_충남대,68,8,6406,562
2024-09-21,etri,1,0,6243,2059
2024-09-21,kier,4,0,6243,2059
2024-09-21,kribb,7,3,6243,2059
2024-09-21,krict,1,1,6243,2059
2024-09-21,단지_KTG중앙연구원,2,0,6243,2059
2024-09-21,단지_연구단지네거리,3,0,6243,2059
2024-09-21,단지_연구단지운동장,6,1,6243,2059
2024-09-21,대조_충남대,98,44,6243,2059
2024-09-22,etri,7,1,18457,2588
2024-09-22,kier,5,1,18457,2588
2024-09-22,kiom,3,1,18457,2588
2024-09-22,kribb,15,0,18457,2588
2024-09-22,krict,5,0,18457,2588
2024-09-22,단지_KTG중앙연구원,3,0,18457,2588
2024-09-22,단지_LG생활건강,3,0,18457,2588
2024-09-22,단지_연구단지네거리,24,3,18457,2588
2024-09-22,단지_연구단지운동장,26,4,18457,2588
2024-09-22,단지_한화솔루션,7,0,18457,2588
2024-09-22,대조_충남대,366,61,18457,2588
2024-09-23,etri,3,0,19328,3023
2024-09-23,kier,13,0,19328,3023
2024-09-23,kiom,6,0,19328,3023
2024-09-23,kribb,28,5,19328,3023
2024-09-23,krict,9,1,19328,3023
2024-09-23,단지_KTG중앙연구원,5,2,19328,3023
2024-09-23,단지_LG생활건강,5,0,19328,3023
2024-09-23,단지_연구단지네거리,7,2,19328,3023
2024-09-23,단지_연구단지운동장,28,6,19328,3023
2024-09-23,단지_한화솔루션,2,0,19328,3023
2024-09-23,대조_충남대,486,58,19328,3023
2024-09-24,etri,6,0,19727,3030
2024-09-24,kier,11,1,19727,3030
