node_id,기관명,약칭,매칭키워드,유형,정류장ID,정류장명,비고
etri,한국전자통신연구원,ETRI,전자통신연구원,출연연,,,
kriss,한국표준과학연구원,KRISS,표준과학연구원,출연연,,,
kaeri,한국원자력연구원,KAERI,원자력연구원,출연연,,,원자력안전기술원과 이름 혼동 주의
krict,한국화학연구원,KRICT,화학연구원,출연연,,,
kimm,한국기계연구원,KIMM,기계연구원,출연연,,,
kribb,한국생명공학연구원,KRIBB,생명공학연구원,출연연,,,
kigam,한국지질자원연구원,KIGAM,지질자원연구원,출연연,,,
kari,한국항공우주연구원,KARI,항공우주연구원,출연연,,,
kier,한국에너지기술연구원,KIER,에너지기술연구원,출연연,,,
kbsi,한국기초과학지원연구원,KBSI,기초과학지원연구원,출연연,,,
kasi,한국천문연구원,KASI,천문연구원,출연연,,,
kiom,한국한의학연구원,KIOM,한의학연구원,출연연,,,
kfe,한국핵융합에너지연구원,KFE,핵융합,출연연,,,
kisti,한국과학기술정보연구원,KISTI,과학기술정보연구원,출연연,,,
kins,한국원자력안전기술원,KINS,원자력안전기술원,출연연,,,
kaist,한국과학기술원,KAIST,KAIST,대학,,,카이스트 표기 변형 확인 필요
cnu,충남대학교,CNU,충남대,대조군,,,궁동 대학상권
gov,정부청사,,정부청사,대조군,,,업무지구 대조 (지하철 프로파일에서 확정)
